Names,Group,Group Description,,Part 1,,,Part II,Exempt
(DD) Thebacon,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Thebaine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Thiofentanyl,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Tilidine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Trimeperidine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
Natalizumab,,,-,All preparations,,,,
Natamycin,,,-,-,All preparations unless exempted,-,-,Natamycin when use as food additive in food
Nateglinide,,,-,-,All preparations,,,
Nebivolol,,,-,All preparations,,,,
Nedocromil sodium,,,-,-,All preparations,,,
Nefazodone; its salts,,,-,All preparations,,,,
Nefopam; its salts,,,-,All preparations,,,,
Nelfinavir; its salts,,,-,All preparations,,,,
Neostigmine; its salts,,,-,All preparations,,,,
Nepafenac,,,-,-,All preparations,,,
Nevirapine; its salts,,,-,All preparations,,,,
Nialamide,,,-,All preparations,,,,
Nicardipine; its salts,,,-,All preparations,,,,
Nicotinic acid,,,-,Sustained release preparations containing nicotinic acid,,,,All preparations unless in Group B
Nicergoline; its salts,,,-,All preparations,,,,
Niclosamide,,,-,All preparations,,,,
Nifedipine,,,-,All preparations,,,,
Niflumic acid,,,-,All preparations,,,,
Nifuroxazide,,,-,-,All preparations,,,
Nikethamide,,,-,-,All preparations,,,
Nilotinib,,,-,All preparations,,,,
Nilvadipine,,,-,All preparations,,,,
Nimetazepam; its salts (DD),,,All preparations,-,,,,
Nimodipine,,,-,All preparations,,,,
Nimorazole,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Nisoldipine,,,-,All preparations,,,,
Nitric acid,,,-,-,-,-,9% w/w and over,Under 9% w/w
Nitric Oxide,,,-,Product which is registered under the Control of Drugs and Cosmetics Regulations 1984,-,-,-,All preparations unless in Group B
Nitrendipine,,,-,All preparations,,,,
Nitrobenzene,,,-,-,-,All preparations containing 0.1% and over unless exempted,-,Under 0.1%; under 1% in soap; under 5% in polishes
Nitrofurans,,,All preparations including preparations for use in animal feed,All preparations in pharmaceutical dosage form unless in Group A and Group C,"Suppositories and preparations for topical use in the nose, eyes and ears. Lozenges and preparations for external use only",,,
"Nitrophenols, ortho, meta and para",,,-,-,-,All preparations,,
Nizatidine,,,-,-,All preparations,,,
Nomifensine; its salts,,,-,All preparations,,,,
Norephedrine,,,All preparations,,,,,
Nortriptyline; its salts,,,-,All preparations,,,,
Nystatin,,,-,-,All preparations,,,
Ocriplasmin,,,-,All preparations,,,,
Octamylamine,,,-,-,All preparations,,,
Octreotide; its salts,,,-,All preparations,,,,
Ofatumumab,,,-,All preparations,,,,
Olanzapine,,,-,All preparations,,,,
Olaquindox,,,All preparations,,,,,
Olmesartan medoxomil,,,-,All preparations,,,,
Omalizumab,,,-,All preparations,,,,
Omeprazole,,,-,All preparations,,,,
Ondansetron; its salts,,,-,All preparations,,,,
Oprelvekin,,,-,All preparations,,,,
Orlistat,,,-,-,All preparations,,,
Ornidazole,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Orphenadrine; its salts,,,-,All preparations,,,,
Orthopterin,,,-,All preparations,,,,
Oseltamivir,,,-,All preparations,,,,
Oteracil potassium,,,-,All preparations,,,,
Ouabain,,,-,All preparations,,,,
Oxalic acid; metallic oxalates,,,-,-,-,All preparations unless exempted,-,"Laundry blue, polishes, cleaning powders or scouring products, containing the equivalent of not more than 10% of oxalic acid dihydrate. Ink eradicators containing not more than 5% of oxalic acid"
Oxaliplatin,,,-,All preparations,,,,
Oxcarbazepine,,,-,All preparations,,,,
Oxiconazole; its salts,,,-,All preparations unless in Group C,Preparations for external use,,,
Oxprenolol; its salts,,,-,All preparations,,,,
Oxybutinin; its salts,,,-,-,All preparations,,,
Oxyclozanide,,,-,All preparations,,,,
Oxymetazoline; its salts,,,-,-,All preparations,,,
Oxyphenbutazone,,,All preparations,,,,,
Oxyphencyclimine; its salts,,,-,-,All preparations,,,
Oxyphenonium; its salts,,,-,-,All preparations,,,
Oxytocins; natural and synthetic,,,-,All preparations,,,,
Paliperidone,,,-,All preparations,,,,
Palonosetron,,,-,All preparations,,,,
Pamidronate Disodium,,,-,All preparations,,,,
Paclitaxel,,,-,All preparations,,,,
Palivizumab,,,-,All preparations,,,,
Pancuronium bromide,,,-,All preparations,,,,
Panitumumab,,,-,All preparations,,,,
Pantoprazole; its salts,,,-,All preparations,,,,
Parahexyl (DD),,,-,All preparations,,,,
Paraldehyde,,,-,-,All preparations,,,
Paramethadione,,,-,All preparations,,,,
Paramethoxyamphetamine (PMA) (DD),,,-,All preparations,,,,
Parecoxib sodium,,,-,All preparations,,,,
Pargyline; its salts,,,-,All preparations,,,,
Paricalcitol,,,-,-,All preparations,,,
Paroxetine,,,-,All preparations,,,,
Pazopanib,,,-,All preparations,,,,
Pecazine; its salts,,,-,-,All preparations,,,
Pegabtanib Sodium,,,-,All preparations,,,,
Pegfilgrastim,,,-,All preparations,,,,
Pegvisomant,,,-,All preparations,,,,
Pemetrexed,,,-,All preparations,,,,
Pemoline; its salts,,,-,All preparations,,,,
Pempidine; its salts,,,-,All preparations,,,,
Penciclovir,,,-,All preparations unless in Group C,Preparations for topical use.,,,
Penicillamine; its salts,,,-,All preparations,,,,
Pentosan,,,-,All preparations,,,,
Pentaerythritol tetranitrate,,,-,-,All preparations,,,
Pentamidine; its salts,,,-,All preparations,,,,
Pentazocine; its salts,,,-,All preparations,,,,
Pentoxifylline,,,-,All preparations,,,,
Perampanel,,,-,All preparations,,,,
Pergolide Mesylate,,,-,All preparations,,,,
Perindopril,,,-,All preparations,,,,
Pertuzumab,,,-,All preparations,,,,
Phenacemide,,,-,All preparations,,,,
Phenacetin,,,All preparations unless exempted,-,-,-,-,Hydrogen Peroxide solution or preparations containing hydrogen peroxide solution incorporated with not more than 0.1% w/w of phenacetin as stabiliser for the hydrogen peroxide solution calculated with reference to that hydrogen peroxide solution
Phenaglycodol,,,-,All preparations,,,,
Phenazone,,,All preparations,,,,,
Phenazopyridine; its salts,,,-,All preparations,,,,
Phenbutrazate; its salts,,,-,All preparations,,,,
Phencyclidine; its salts,,,-,All preparations,,,,
Phendimetrazine; its salts,,,-,All preparations,,,,
Phenelzine; its salts,,,-,All preparations,,,,
Phenethylamine,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Phenformin,,,-,-,All preparations,,,
Phenmetrazine; its salts,,,-,All preparations,,,,
Phenols (any member of the series of phenols of which the first member is phenol) and of which the molecular composition varies from member to member by one atom of carbon and two atoms of hydrogen); compounds of phenol with a metal,,,-,-,All preparations for diagnostic or therapeutic use unless exempted,-,All preparations other than those in Part I or exempted,Paratertiary amyl phenol; tertiary butyl cresol; thymol; carvacrol; soap; tar (coal or wood); essential oils; essential oils in which phenols occur naturally; strengths under 2.5% w/w of phenols; 5% w/w of phenols or under in surgical dressings for human or animal use
"Phenothiazine and other substances structurally derived from it; their salts; except Chlorpromazine, Dimethoxanate; its salts and Promethazine; its salts and molecular compounds",,,-,All preparations for therapeutic use unless in Part II or exempted.,-,-,All preparations other than in Group B or exempted.,Phenothiazine powder for veterinary use only.
Phenprobamate,,,-,All preparations,,,,
Phentermine; its salts,,,-,All preparations,,,,
Phentolamine; its salts,,,-,All preparations,,,,
Phenylacetic acid; it salts,,,-,-,-,-,All preparations,
Phenylbutazone; its salts,,,-,All preparations,,,,
"Phenylene-1, 4-diisothiocyanate",,,-,All preparations,,,,
1-Phenyl-2-propanone,,,-,-,-,-,All preparations,
Phenytoin and other substances structurally derived from hydantoin; their salts,,,-,All preparations,,,,
Phosphorus,,,-,-,-,-,All preparations,
Picric acid,,,-,-,-,All preparations,,
Picrotoxin,,,-,-,All preparations,,,
Pimecrolimus,,,-,-,All preparations,,,
Pimozide,,,-,All preparations,,,,
Pinaverium,,,-,All preparations,,,,
Pindolol its salts,,,-,All preparations,,,,
Pioglitazone,,,-,All preparations,,,,
Pipazethate; its salts,,,-,-,All preparations,,,
Pipemidic acid; its salts,,,-,All preparations,,,,
Piperazine,,,-,-,-,-,All preparations,"Piperazine in:
(1) Cosmetic which is notified under the Control of Drugs and Cosmetics Regulations 1984
(2) Product which is registered under the Control of Drugs and Cosmetics Regulations 1984"
Piperidine,,,-,-,-,-,All preparations,
Piperonal,,,-,-,-,-,All preparations,Preparations containing piperonal as flavouring agents and perfumes
Pipoxolon; its salts,,,-,All preparations,,,,
Pipradrol; its salts,,,-,All preparations,,,,
Piracetam,,,-,All preparations,,,,
Pirbuterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Pirenzepine; its salts,,,-,-,All preparations,,,
Pirfenoxone; its salts,,,-,All preparations,,,,
Piribedil,,,-,All preparations,,,,
Piroxicam,,,-,-,All preparations,,,
Pitofenone; its salts,,,-,-,All preparations,,,
"Pituitary gland, the active principles of, other than corticotrophins, oxytocins and vasopressins",,,-,-,All preparations,,,
Pizotifen; its salts,,,-,-,All preparations,,,
Plerixafor,,,-,All preparations,,,,
Polymethylene bis trimethyl- ammonium salts,,,-,All preparations,,,,
Posaconazole,,,-,All preparations,,,,
Potassium hydroxide,,,-,-,-,-,12% and over unless exempted,"Under 12%, accumulators, batteries or when use as food additive in food"
Potassium permanganate,,,-,-,-,-,All preparations,Preparations containing 0.1% and less of potassium permanganate
Practolol; its salts,,,-,All preparations,,,,
Pralatrexate,,,-,All preparations,,,,
Pramipexole; its salts,,,-,All preparations,,,,
Prasugrel,,,-,All preparations,,,,
Pravastatin,,,-,All preparations,,,,
Praziquantel,,,-,-,All preparations,,,
Prazosin; its salts,,,-,All preparations,,,,
Pregabalin,,,-,All preparations,,,,
Prenylamine; its salts,,,-,All preparations,,,,
Prifinium,,,-,Preparations for animal treatment,All preparations unless in Group B,,,
Primaquine; its salts,,,-,All preparations,,,,
Primidone,,,-,All preparations,,,,
Probenecid,,,-,All preparations,,,,
Probucol,,,-,-,All preparations,,,
Procainamide; its salts,,,-,All preparations,,,,
Procarbazine; its salts,,,-,All preparations,,,,
Procaterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Procyanidolic oligomers,,,-,All preparations,,,,
Procyclidine; its salts,,,-,All preparations,,,,
Profafenone; its salts,,,-,All preparations,,,,
Proglumetacin; its salts,,,-,-,All preparations,,,
Proglumide,,,-,-,All preparations,,,
Proguanil; its salts,,,-,-,All preparations,,,
Prolintane; its salts,,,-,All preparations,,,,
Promoxolane,,,-,All preparations,,,,
Propanidid,,,-,All preparations,,,,
Propranolol; its salts,,,-,All preparations,,,,
Propantheline; its salts,,,-,-,All preparations,,,
Propylhexedrine; its salts,,,-,All preparations,,,,
Proquazone,,,-,-,All preparations,,,
Prostaglandins and its synthetic derivatives; their salts; their esters,,,-,All preparations,,,,
Prothionamide,,,-,-,All preparations,,,
Prothipendyl; its salts,,,-,All preparations,,,,
Protriptyline; its salts,,,-,All preparations,,,,
Prucalopride,,,-,All preparations,,,,
Psilocine or psilotsin; its salts (DD),,,-,All preparations,,,,
Psilocybine; its salts (DD),,,-,All preparations,,,,
Pyrazinamide,,,-,All preparations,,,,
Pyridinol carbamate,,,-,All preparations,,,,
Pyridostigmine; its salts,,,-,-,All preparations,,,
Pyrimethamine,,,-,-,All preparations,,,
Pyrithyldione,,,-,-,All preparations,,,
Pyrovalerone,,,-,All preparations,,,,
Quetiapine; its salts,,,-,All preparations,,,,
Quinagolide; its salts,,,-,All preparations,,,,
Quinapril,,,-,All preparations,,,,
Quinethazone,,,-,All preparations,,,,
Quinidine; its salts,,,-,All preparations,,,,
Quinine; its salts,,,-,All preparations unless exempted,-,-,-,"Preparations used as bitter, flavouring agent or in the manufacture of polarising glasses and plastics"
Rabeprazole; its salts,,,-,All preparations,,,,
Racecadotril,,,-,-,All preparations,,,
Ractopamine,,,All preparations unless in Part II,-,-,-,When compounded with animal feeds,
Radium and other radioactive substances for therapeutic or diagnostic use,,,-,All preparations,,,,
Rafoxanide,,,-,All preparations,,,,
Raltegravir,,,-,All preparations,,,,
Ramipril,,,-,All preparations,,,,
Ranibizumab,,,-,All preparations,,,,
Ranitidine; its salts,,,-,-,All preparations,,,
Ranitidine bismuth citrate,,,-,All preparations,,,,
Rasburicase,,,-,All preparations,,,,
Rebamipide,,,-,All preparations,,,,
Reproterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Retinol; its esters,,,-,"Tablets, capsules and other similar pharmaceutical dosage forms for human use, containing more than 10,000 i.u. of Vitamin A per dosage unit",-,-,-,All preparations other than those in Group B
Recombinant-Methionyl Human Granulocyte - colony stimulating factor,,,-,All preparations,,,,
Regorafenib,,,-,All preparations,,,,
Repaglinide,,,-,-,All preparations,,,
Retigabine,,,-,All preparations,,,,
Ribavirin,,,-,All preparations,,,,
Rilmenidine; its salts,,,-,All preparations,,,,
Rilpivirine,,,-,All preparations,,,,
Riluzole,,,-,All preparations,,,,
Rimiterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Rimonabant,,,-,All preparations,,,,
Risedronate; its salts,,,,All preparations,,,,
Risperidone,,,-,All preparations,,,,
Ritonavir,,,-,All preparations,,,,
Rituximab,,,-,All preparations,,,,
Rivaroxaban,,,-,All preparations,,,,
Rivastigmine; its salts,,,-,All preparations,,,,
Rizatriptan; its salts,,,-,All preparations,,,,
Rocuronium; its salts,,,-,All preparations,,,,
Rofecoxib,,,-,All preparations,,,,
Roflumilast,,,-,All preparations,,,,
Rolicyclidine or PHP or PCPY (DD),,,-,All preparations,,,,
Romiplostim,,,-,All preparations,,,,
Ronidazole,,,All preparations,,,,,
Ropinirole; its salts,,,-,All preparations,,,,
Rosiglitazone; its salts,,,-,-,All preparations,,,
Rosoxacin,,,-,All preparations,,,,
Rosuvastatin,,,-,All preparations,,,,
Rotigotine,,,-,All preparations,,,,
Roxatidine,,,-,-,All preparations,,,
Ruxolitinib,,,-,All preparations,,,,
Safrole,,,-,-,-,-,All preparations,Preparations containing safrole as flavouring agents and perfumes
Salbutamol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Salinomycin,,,-,All preparations,,,,
Salmeterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Santonin,,,-,-,All preparations,,,
Saquinavir; its salts,,,-,All preparations,,,,
"Savin, oil of",,,-,-,All preparations,,,
Saxagliptin,,,-,All preparations,,,,
Secnidazole,,,-,All preparations unless in Group C,"Pessaries.
 Preparations for external use",,,
Selamectin,,,-,All preparations,,,,
Selegiline; its salts,,,-,All preparations,,,,
Selenium sulphide,,,-,-,All preparations unless exempted,-,-,Preparations for external use containing 1% w/v or less Selenuim Sulphide
Semustine; its salts,,,-,All preparations,,,,
Sermoreline GRF,,,-,All preparations,,,,
Sertaconazole; its salts,,,-,All preparations unless in Group C,Preparations for external use,,,
Sertindole,,,-,All preparations,,,,
Sertraline; its salts,,,-,All preparations,,,,
Sevelamer,,,-,All preparations,,,,
Sevoflurane,,,-,All preparations,,,,
Benzoestrol,Sex Hormones,"Sex Hormones-androgenic, oestrogenic and progestational, natural or synthetic, the following:",-,"(1) All preparations with androgenic properties unless in Group C or exempted
(2) Progestational preparations for subdermal implant",All preparations unless in Group B or exempted,-,-,Preparations for external use containing not more than 40 ppm of oestrogenic substances
Derivatives of stilbene or naphthalene with oestrogenic activity; their esters,Sex Hormones,"Sex Hormones-androgenic, oestrogenic and progestational, natural or synthetic, the following:",-,"(1) All preparations with androgenic properties unless in Group C or exempted
(2) Progestational preparations for subdermal implant",All preparations unless in Group B or exempted,-,-,Preparations for external use containing not more than 40 ppm of oestrogenic substances
"Steroid compounds with androgenic, oestrogenic or progestational activity; their esters",Sex Hormones,"Sex Hormones-androgenic, oestrogenic and progestational, natural or synthetic, the following:",-,"(1) All preparations with androgenic properties unless in Group C or exempted
(2) Progestational preparations for subdermal implant",All preparations unless in Group B or exempted,-,-,Preparations for external use containing not more than 40 ppm of oestrogenic substances
Sibutramine,,,-,All preparations,,,,
Sildenafil; its salts,,,-,All preparations,,,,
Simvastatin,,,-,All preparations,,,,
Sirolimus,,,-,All preparations,,,,
Sitagliptin,,,-,All preparations,,,,
Sodium cromoglycate,,,-,-,All preparations,,,
Sodium hydroxide,,,-,-,All preparations for therapeutic or diagnostic use,-,"All preparations containing 12% and over other than those in Part I or exempted and subject to the provisions of Poisons (Sodium Hydroxide) Regulations, 1962 [L.N. 145/62]",Under 12%; Sodium hydroxide when use as food additive in food
Somatostatin,,,-,All preparations,,,,
Solifenacin,,,-,-,All preparations,,,
Sorafenib,,,-,All preparations,,,,
Sotalol; its salts,,,-,All preparations,,,,
Sparteine; its salts,,,-,All preparations,,,,
Spironolactone,,,-,All preparations,,,,
Stavudine; its salts,,,-,All preparations,,,,
Streptokinase,,,-,All preparations,,,,
Streptozocin,,,-,All preparations,,,,
"Strophanthus, glycosides of",,,-,All preparations,,,,
Styramate,,,-,All preparations,,,,
Sugammadex,,,-,All preparations,,,,
Sulconazole; its salts,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Sulindac,,,-,All preparations,,,,
Sulphinpyrazone,,,-,All preparations,,,,
Sulphonal; alkyl sulphonals,,,-,-,All preparations,,,
Sulphonamides; their salts; their derivatives,,,"All preparations unless in Group B, Group C, Group D and Part II","All preparations in pharmaceutical dosage form and veterinary preparations compounded with one or more ingredients including preparations intended for inclusion in animal feeds unless in Group A, Group C, Group D and Part II","Suppositories and preparations for topical use in the nose, eyes and ears, lozenges and preparations for external use only",Preparations for laboratory use,When compounded with animal feeds,
Sulphuric acid,,,-,-,-,-,9% w/w and over unless exempted,Under 9% w/w; accumulators; batteries; fire-extinguishers
Sulpiride,,,-,All preparations,,,,
Sultopride,,,-,All preparations,,,,
Sumatriptan; its salts,,,-,All preparations,,,,
Sunitinib maleate,,,-,All preparations,,,,
Suxamethonium; its salts,,,-,All preparations,,,,
Syrosingopine,,,-,All preparations,,,,
Tacrine; its salts,,,-,All preparations,,,,
Tacrolimus,,,-,All preparations unless in Group C,Preparations for external use,,,
Tadalafil,,,-,All preparations,,,,
Tamoxifen; its salts,,,-,All preparations,,,,
Tamsulosin,,,-,All preparations,,,,
Tegafur,,,-,All preparations,,,,
Tegaserod,,,-,-,All preparations,,,
Teicoplanin,,,All preparations,,,,,
Telbivudine,,,-,-,All preparations,,,
Telithromycin,,,-,All preparations,,,,
Telmisartan,,,-,All preparations,,,,
Temozolomide,,,-,All preparations,,,,
Temsirolimus,,,-,All preparations,,,,
Tenecteplase,,,,All preparations,,,,
Tenocyclidine or TCP; its salts (DD),,,-,All preparations,,,,
Tenofovir,,,-,All preparations,,,,
Tenonitrozole,,,-,All preparations unless in Group C,Pessaries. Preparation for external use,,,
Tenoxicam,,,-,-,All preparations,,,
Terazosin; its salts,,,-,All preparations,,,,
Terbinafine; its salts,,,-,All preparations unless exempted,,,Preparations for external use,
Terbutaline,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Terconazole,,,-,All preparations unless in Group C,Pessaries. Preparations for external use.,,,
Teriparatide,,,-,All preparations,,,,
Teropterin,,,-,All preparations,,,,
Tertatolol,,,-,All preparations,,,,
Tetrabenazine; its salts,,,-,All preparations,,,,
Tetrahydrozoline; its salts,,,-,-,All preparations,,,
Tetramisole,,,-,All preparations,,,,
Thalidomide,,,-,All preparations,,,,
Thallium; salts of,,,-,All preparations,,,,
Theophylline; its salts,,,-,-,All medical preparations,Preparations other than medicinal preparations unless exempted,-,"Naturally occuring theophylline in tea, coffee or cocoa"
Thiacetazone,,,-,-,All preparations,,,
Thiambutosine,,,-,All preparations,,,,
Thiocarlide; its salts,,,-,All preparations,,,,
Thiocolchicoside,,,-,All preparations,,,,
Thiomersal,,,-,-,All preparations unless exempted,-,-,Therapeutic substances containing less than 0.1% of Thiomersal as a preservative
Thionyl Chloride,,,-,-,-,-,All preparations,
Thiotepa,,,-,All preparations,,,,
Thiouracil and other substances structurally derived therefrom,,,-,All preparations,,,,
"Thyroid gland, the active principles of; their salts",,,-,-,All preparations,,,
Tiagabine; its salts,,,-,All preparations,,,,
Tianeptine; its salts,,,-,All preparations,,,,
Tiapride; its salts,,,-,All preparations,,,,
Tiaprofenic acid,,,-,All preparations,,,,
Ticagrelor,,,-,All preparations,,,,
Ticlopidine,,,-,All preparations,,,,
Tibolone,,,-,-,All preparations,,,
Tiemonium; its salts,,,-,-,All preparations,,,
Tiletamine; its salts,,,-,All preparations,,,,
Tiludronic acid; its salts,,,-,All preparations,,,,
Timepidium; its salts,,,-,All preparations,,,,
Timolol; its salts,,,-,All preparations,,,,
Tinidazole,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Tinoridine; its salts,,,-,-,All preparations,,,
Tioconazole,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Tiotropium bromide,,,-,-,All preparations,,,
Tipepidine hybenzate,,,-,-,All preparations,,,
Tirofiban,,,-,All preparations,,,,
Tocilizumab,,,-,All preparations,,,,
Todrazoline; its salts,,,-,All preparations,,,,
Tofacitinib,,,-,All preparations,,,,
Tolbutamide; its salts,,,-,-,All preparations,,,
Tolcapone,,,-,All preparations,,,,
Tolcyclamide,,,-,-,All preparations,,,
Tolfenamic acid,,,-,All preparations,,,,
Tolmetin; its salts,,,-,All preparations,,,,
Tolperison; its salts,,,-,All preparations,,,,
Tolterodine,,,-,-,All preparations,,,
Toltrazuril,,,-,All preparations,,,,
Topiramate,,,-,All preparations,,,,
Topotecan; its salts,,,-,All preparations,,,,
Torasemide,,,-,All preparations,,,,
Toremifene; its salts,,,-,All preparations,,,,
Trabectedine,,,-,All preparations,,,,
Tramadol; its salts,,,-,All preparations,,,,
Tranexamic acid,,,-,All preparations unless exempted,-,-,-,Tranexamic acid in cosmetic which is notified under the Control of Drugs and Cosmetics Regulations 1984
Trapidil,,,-,All preparations,,,,
Trastuzumab,,,-,All preparations,,,,
Travoprost,,,-,All preparations,,,,
Tretamine; its salts,,,-,All preparations,,,,
Tretinoin,,,-,-,All preparations,,,
Tretoquinol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Triamterene,,,-,All preparations,,,,
Triaziquone,,,-,All preparations,,,,
Tribenoside,,,-,-,All preparations,,,
Tribromoethanol,,,-,All preparations,,,,
"2, 2, 2-Trichloroethanol; esters of; their salts",,,-,All preparations,,,,
Trifluridine,,,-,All preparations,,,,
Triflusal,,,-,All preparations,,,,
Trimebutine maleate,,,-,All preparations,,,,
Trimetaphan camsylate,,,-,All preparations,,,,
Trimetazidine; its salts,,,-,-,All preparations,,,
"3, 4, 5-Trimethoxy-amphetamine (TMA) (DD)",,,-,All preparations,,,,
Trimetrexate; its salts,,,-,All preparations,,,,
Tromantadine; its salts,,,-,All preparations unless in Group C,Preparations for external use,,,
Trimipramine; its salts,,,-,All preparations,,,,
Trioxsalen,,,-,All preparations,,,,
Trofosfamide,,,-,All preparations,,,,
Tropicamide,,,-,-,All preparations,,,
Tropisetron; its salts,,,-,All preparations,,,,
Trospium chloride,,,-,-,All preparations,,,
Troxidone,,,-,All preparations,,,,
L-Tryptophan,,,"Medicinal preparations, health and diet supplements containing synthetic L-Tryptophan in pharmaceutical dosage form, unless in Group B or exempted",Preparations for parenteral nutrition and enteral feed. Preparations for veterinary use,-,-,-,Preparations containing L-Tryptophan from natural sources
Tubocurarine; its salts,,,-,All preparations,,,,
Tulobuterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Tybamate,,,-,All preparations,,,,
Udenafil,,,-,All preparations,,,,
Ulipristal,,,-,All preparations,,,,
Urapidil,,,-,All preparations,,,,
Urea,,,-,-,All preparations in pharmaceutical dosage form containing 40% and above of urea,,,
13 C-Urea,,,-,-,Product which is registered under the Control of Drugs and Cosmetics Regulations 1984,,,
Urokinase,,,-,All preparations,,,,
Ursodeoxycholic acid,,,-,-,All preparations,,,
Ustekinumab,,,-,All preparations,,,,
"Vaccines, sera, toxoids, antitoxins, antigens and immunoglobulins for human use",,,-,All preparations unless in Group C,All preparations for diagnostic use in laboratory,,,
Valaciclovir; its salts,,,-,All preparations,,,,
Valdecoxib,,,-,All preparations,,,,
Valepotriates,,,-,-,All preparations unless exempted,-,-,Valerian root
Valganciclovir,,,-,All preparations,,,,
Valproic acid; its salts,,,-,All preparations,,,,
Valsartan,,,-,All preparations,,,,
Vancomycin,,,All preparations unless Group B and Group D,All products registered under the Control of Drugs and Cosmetics Regulations 1984,-,Preparations for laboratory use,,
Vardenafil,,,-,All preparations,,,,
Varenicline tartrate,,,-,-,All preparations,,,
"Vasopressins, natural and synthetic",,,-,All preparations,,,,
Vecuronium; its salts,,,-,All preparations,,,,
Vemurafenib,,,-,All preparations,,,,
Venlafaxine; its salts,,,-,All preparations,,,,
Veralipride,,,-,All preparations,,,,
Verapamil; its salts,,,-,-,All preparations,,,
Vernakalant,,,-,All preparations,,,,
Verteporfin,,,-,All preparations,,,,
Vidarabine,,,-,All preparations,,,,
Vigabatrin,,,-,All preparations,,,,
Vilanterol,,,-,-,All preparations,,,
Vildagliptin,,,-,All preparations,,,,
Viloxazine; its salts,,,-,All preparations,,,,
Voriconazole,,,-,All preparations,,,,
Vorinostat,,,-,All preparations,,,,
Warfarin; its salts,,,-,All preparations for human use,,,,
Xanthinol nicotinate,,,-,All preparations,,,,
Ximelagatran,,,-,All preparations,,,,
Xipamide,,,-,All preparations,,,,
Xylazine,,,-,All preparations,,,,
Xylometazoline; its salts,,,-,-,All preparations,,,
Zacyclonol; its salts,,,-,-,All preparations,,,
Zafirlukast,,,-,All preparations,,,,
Zalcitabine,,,-,All preparations,,,,
Zaleplon,,,-,All preparations,,,,
Zanamivir,,,-,All preparations,,,,
Zidovudine,,,-,All preparations,,,,
Zinc p-phenolsulphonate,,,-,-,Strengths over 5%,-,-,Strengths of 5% and under
Zipeprol; its salts,,,-,All preparations,,,,
Ziprasidone Hydrochloride Monohydrate,,,-,All preparations,,,,
Zofenopril calcium,,,-,All preparations,,,,
Zolazepam,,,-,All preparations,,,,
Zoledronic acid; its salts,,,-,All preparations,,,,
Zolmitriptan,,,-,All preparations,,,,
Zolpidem; its salts,,,-,All preparations,,,,
Zomepirac; its salts,,,-,All preparations,,,,
Zonisamide,,,-,All preparations,,,,
Zopiclone,,,-,All preparations,,,,
Zoxazolamine; its salts,,,-,All preparations,,,,
